ticker,corr,overlap_days
AAPL,-0.0028148910023683012,2226
AMZN,-0.01944438193707325,2226
GOOG,0.014278239326832306,2226
META,-0.00031547278328721516,1984
MSFT,-0.011811247192373921,2226
NVDA,0.009129300378979775,2226
